【   259
文献   35
文献号   23
】   259
原文   23
出处   25
社科   5
纵横   4
原   112
刊   66
地名   19
兰州   1
期   64
号   95
页   117
分   60
类   69
名   29
文艺   223
文艺理论   17
理论   183
作   123
徐   23
传   31
礼   12
复印   27
标   23
题   28
艺术   2112
艺术流派   1
流派   77
研究   367
试论   2
学派   83
生态   12
生态平衡   7
平衡   13
正   66
文   88
古今   23
古今中外   4
中外   7
外流   1
描述   38
／   3
文化   562
文明   64
和文   34
文学   482
文学艺术   40
学艺   41
发展   215
一定   73
定阶   1
阶段   48
产物   19
后者   30
继续   17
伟大   23
大内   1
内驱力   2
标志   15
旗帜   4
象征   28
尺度   13
国民   9
精神   281
人类   171
理想   62
创造   210
创造力   8
燃起   1
火焰   1
指引   1
不断   51
进击   2
永远   5
平   9
线   5
以外   14
开拓   12
探险   1
灯火   1
人类学   42
考古   15
考古学   9
古学   9
民族   130
民族学   3
综合   41
合成   5
成果   17
告诉   3
原始   208
原始社会   16
社会   360
文化学术   2
化学   10
学术   37
巫术   23
宗教   53
三位   5
三位一体   4
一体   19
自成   4
一大   10
大流   4
内部   17
确有   9
小   18
流   17
派   86
区别   31
可视   10
视为   18
人数   4
滥觞   2
路   8
威   9
野蛮   4
指出   55
早在   10
石器   24
石器时代   15
时代   124
更新   9
更新世   1
已经   64
造   7
器具   2
玩艺   2
不是   165
孤零   2
孤零零   2
零零   2
一个   289
一个天   2
天才   10
分散   2
几个   14
能手   2
成群   1
成   47
人   369
工作   64
器物   3
图画   7
往往   61
整套   3
守   2
同一   21
一格   5
格式   4
证明   26
当时   46
已有   15
传统   113
萌芽   3
不同   144
原始人   31
人群   2
（   581
部落   18
部族   8
）   584
神话   91
史诗   58
造型   25
造型艺术   14
歌舞   7
种族   7
地域   5
心灵   31
个性   81
风格   72
进入   32
奴隶   5
奴隶社会   2
较为   16
正式   1
严格   5
才   91
先后   4
诞生   5
哲学   149
人文   57
人文科学   3
文科   3
科学   104
自然   211
自然科   11
自然科学   11
脱离   11
独立   37
分途   3
古希腊   40
希腊   78
哲学学派   1
学学   16
林立   3
繁荣   36
繁荣景象   1
景象   5
中国   242
先秦   19
诸子   3
诸子百家   1
百家   3
崛起   6
争鸣   7
恢宏   2
气度   2
分别   17
代表   50
古代   118
西半   1
西半球   1
半球   2
东半   2
东半球   1
两   34
大   86
系统   71
最高   38
高水平   5
水平   29
且为   2
全人   12
全人类   10
精神文明   27
奠定   5
坚实   3
基础   66
树立   5
光辉   12
榜样   6
某种   94
某种程度   8
程度   50
上成   3
成为   114
为难   1
难以   27
企及   7
典范   10
使   215
无数   11
后代   4
儿孙   1
惊叹   1
钦佩   2
之余   5
难免   7
难免会   2
产生   95
惭愧   2
妒   2
羡   5
情   27
